customerID,survival_prob_6_months,survival_prob_12_months,survival_prob_24_months,retention_strategy
1234-ABCDE,0.765357690174456,0.5644225282344456,0.2381302120686072,"URGENT - High Risk: Customer has a >20% chance of churning within 6 months. Recommendation: Proactive wellness call from a senior support agent and a high-value, long-term contract offer (e.g., 2-year plan with 15% discount)."
2345-FGHIJ,0.953597069027477,0.9033681724199568,0.7749464862496663,No Immediate Action Required (Monitor)
3456-KLMNO,0.9553599334820287,0.9069438189928224,0.7826649457539284,No Immediate Action Required (Monitor)
4567-PQRST,0.9928925155209424,0.9848597131761166,0.962448159800302,No Immediate Action Required (Monitor)
5678-UVWXY,0.5317890705139501,0.2590596431984197,0.0337530173553118,"URGENT - High Risk: Customer has a >20% chance of churning within 6 months. Recommendation: Proactive wellness call from a senior support agent and a high-value, long-term contract offer (e.g., 2-year plan with 15% discount)."
6789-ZABCD,0.9624190734966768,0.9213373729402794,0.8142018882402662,No Immediate Action Required (Monitor)
7890-BCDEF,0.7543701889338824,0.5472333447132228,0.220351628631228,"URGENT - High Risk: Customer has a >20% chance of churning within 6 months. Recommendation: Proactive wellness call from a senior support agent and a high-value, long-term contract offer (e.g., 2-year plan with 15% discount)."
8901-CDEFG,0.981310812705565,0.9604517967232342,0.9037201791825208,No Immediate Action Required (Monitor)
9012-DEFGH,0.541874107771762,0.2696811326104172,0.0373330873394477,"URGENT - High Risk: Customer has a >20% chance of churning within 6 months. Recommendation: Proactive wellness call from a senior support agent and a high-value, long-term contract offer (e.g., 2-year plan with 15% discount)."
0123-EFGHI,0.9884992654314252,0.9755627412934784,0.9398163721173656,No Immediate Action Required (Monitor)
1111-GHIJK,0.914343263320065,0.8256934682340527,0.6184600095038277,"Medium Risk: Customer likely to churn within the year. Recommendation: Add to a targeted email campaign offering a moderate incentive, such as a free premium service (e.g., OnlineBackup) for 6 months."
2222-IJKLM,0.9713124299436232,0.9396427696090712,0.8553972971140147,No Immediate Action Required (Monitor)
3333-JKLMN,0.8684310234637341,0.7395448439998544,0.4690861917669065,"Medium Risk: Customer likely to churn within the year. Recommendation: Add to a targeted email campaign offering a moderate incentive, such as a free premium service (e.g., OnlineBackup) for 6 months."
4444-KLMNO,0.993388332211382,0.9859119065882752,0.9650299553791916,No Immediate Action Required (Monitor)
5555-LMNOP,0.6836876562619079,0.4433908210782332,0.1299701386087078,"URGENT - High Risk: Customer has a >20% chance of churning within 6 months. Recommendation: Proactive wellness call from a senior support agent and a high-value, long-term contract offer (e.g., 2-year plan with 15% discount)."
